Term,Translate,Context,Reference,Comment
Update.MessageText.Running,جارٍ تحضير الملف الذي تم تنزيله,,Update\Update.AR.xaml,
Update.MessageText.Running.Not,الملف الذي تم تنزيله غير قابل للاستخدام,,Update\Update.AR.xaml,
Update.MessageText.Running.Error,فشل تحضير الملف الذي تم تنزيله,,Update\Update.AR.xaml,
Update.MessageText.Running.Executed,تم تشغيل الملف الذي تم تنزيله,,Update\Update.AR.xaml,
Update.MessageText.Running.Executing,جارٍ تشغيل الملف الذي تم تنزيله,,Update\Update.AR.xaml,
PASS⦙45,PASS⦙45,Don't Touch,Update\Update.AR.xaml,Please don't touch the translation in this line.
Update.MessageText.Extracting,جارٍ استخراج الملف الذي تم تنزيله,,Update\Update.AR.xaml,
Update.MessageText.Extracting.Not,الملف الذي تم تنزيله غير قابل للاستخدام,,Update\Update.AR.xaml,
Update.MessageText.Extracting.Error,تعذّر استخراج الملف الذي تم تنزيله,,Update\Update.AR.xaml,
Update.MessageText.Extracting.Failed,فشل الملف الذي تم تنزيله,,Update\Update.AR.xaml,
Update.MessageText.Extracting.Corrupt,الملف الذي تم تنزيله تالف,,Update\Update.AR.xaml,
Update.MessageText.Extracting.Executed,تم تشغيل الملف المستخرَج,,Update\Update.AR.xaml,
Update.MessageText.Extracting.Executing,جارٍ تشغيل الملف المستخرَج,,Update\Update.AR.xaml,
Watchdog.ErrorEmpty,للأسف، تعذّر التقاط تفاصيل الخطأ.,,Watchdog\Watchdog.AR.xaml,
Watchdog.ErrorTitle,خطأ,,Watchdog\Watchdog.AR.xaml,
Watchdog.HelpButton,مساعدة,,Watchdog\Watchdog.AR.xaml,
Watchdog.HideButton,إخفاء,,Watchdog\Watchdog.AR.xaml,
Watchdog.ShowButton,إظهار,,Watchdog\Watchdog.AR.xaml,
Watchdog.StackTrace,تتبُّع المكدّس:,,Watchdog\Watchdog.AR.xaml,
Watchdog.CloseButton,إغلاق,,Watchdog\Watchdog.AR.xaml,
Watchdog.WindowTitle,Sucrose Watchdog,,Watchdog\Watchdog.AR.xaml,
Watchdog.ErrorMessage,حدث خطأ غير متوقّع:,,Watchdog\Watchdog.AR.xaml,
Portal.Area.Log,السجلّ,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Data,البيانات,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Hook,الخطّاف,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Cache,ذاكرة التخزين المؤقّت,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Reset,جارٍ إعادة التعيين,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Sound,الصوت,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Store,المتجر,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Backup,النسخ الاحتياطي,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Donate,التبرّع,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Laptop,حاسوب محمول,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.System,النظام,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Update,التحديث,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Engines,المحرّكات,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Library,المكتبة,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Support,الدعم,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Windows,Windows,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Priority,الأولوية,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Developer,المطوّر,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.Extensions,الإضافات,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.OperatingSystem,نظام التشغيل,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.SystemResources,موارد النظام,,Portal\Area\Portal.Area.AR.xaml,
Portal.Area.AppearanceBehavior,المظهر والسلوك,,Portal\Area\Portal.Area.AR.xaml,
Portal.Category.All,الكل,,Portal\Category\Portal.Category.AR.xaml,
PASS⦙46,PASS⦙46,Don't Touch,Portal\Category\Portal.Category.AR.xaml,Please don't touch the translation in this line.
Portal.Category.Sky,السماء,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.War,الحرب,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Bard,الشاعر الجوّال,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Cute,لطيف,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Game,الألعاب,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Love,الحب,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Time,الزمن,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Anime,أنمي,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Music,الموسيقى,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Retro,ريترو,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Space,الفضاء,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Brands,العلامات التجارية,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Galaxy,المجرّة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Horror,الرعب,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Nature,الطبيعة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Sports,الرياضة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.System,النظام,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Tavern,الحانة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Temple,المعبد,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Animals,الحيوانات,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Dynamic,ديناميكي,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Fantasy,الخيال,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Fashion,الموضة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.LineArt,الرسم الخطّي,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Persons,الأشخاص,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Science,العلوم,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Seasons,الفصول,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Vintage,كلاسيكي,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Abstract,تجريدي,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Ambience,الأجواء,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Artworks,الأعمال الفنية,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Colorful,ملوّن,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Holidays,العطلات,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Medieval,العصور الوسطى,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.PixelArt,فن البكسل,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Software,البرمجيات,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Vehicles,المركبات,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Workshop,الورشة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Animation,الرسوم المتحركة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Education,التعليم,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.FilmandTV,الأفلام والمسلسلات,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Halloween,الهالوين,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Landscape,المناظر الطبيعية,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Lifestyle,نمط الحياة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.ComicBooks,الكتب المصوّرة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.DigitalArt,الفن الرقمي,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Minimalist,البساطة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Technology,التقنية,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Nightscapes,مناظر ليلية,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.Superheroes,الأبطال الخارقون,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.BlackandWhite,أبيض وأسود,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.FoodandDrinks,الطعام والمشروبات,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.ArtandAbstract,الفن والتجريد,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.CloudsandSkies,الغيوم والسماء,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.KidsandCartoon,الأطفال والكرتون,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.ScienceFiction,الخيال العلمي,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.CitiesandPlaces,المدن والأماكن,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.CartoonandComics,الكرتون والكتب المصوّرة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.EnchantedForests,الغابات المسحورة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.ColorfulGradients,تدرّجات ملوّنة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.GeometricPatterns,أنماط هندسية,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.InspirationalQuotes,اقتباسات ملهمة,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.PatternsandTextures,الأنماط والملمس,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.UnderwaterandMarine,تحت الماء والبحار,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.ArtificialIntelligence,الذكاء الاصطناعي,,Portal\Category\Portal.Category.AR.xaml,
Portal.Category.ArchitectureandBuildings,العمارة والمباني,,Portal\Category\Portal.Category.AR.xaml,
Base64⦙2,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iVHJheUljb24vUG9ydGFsLlRyYXlJY29uLkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJPdGhlckhlbHAvUG9ydGFsLk90aGVySGVscC5BUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iVGhlbWVFZGl0L1BvcnRhbC5UaGVtZUVkaXQuQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlN0b3JlQ2FyZC9Qb3J0YWwuU3RvcmVDYXJkLkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJPdGhlckFib3V0L1BvcnRhbC5PdGhlckFib3V0LkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJQYWdpbmF0aW9uL1BvcnRhbC5QYWdpbmF0aW9uLkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJUaGVtZVNoYXJlL1BvcnRhbC5UaGVtZVNoYXJlLkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJMaWJyYXJ5Q2FyZC9Qb3J0YWwuTGlicmFyeUNhcmQuQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlRoZW1lRGVsZXRlL1BvcnRhbC5UaGVtZURlbGV0ZS5BUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iVGhlbWVSZXZpZXcvUG9ydGFsLlRoZW1lUmV2aWV3LkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJUaGVtZUltcG9ydC9Qb3J0YWwuVGhlbWVJbXBvcnQuQVIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlRoZW1lQ3JlYXRlL1BvcnRhbC5UaGVtZUNyZWF0ZS5BUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iVGhlbWVSZXBvcnQvUG9ydGFsLlRoZW1lUmVwb3J0LkFSLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJFeHBhbmRlckNhcmQvUG9ydGFsLkV4cGFuZGVyQ2FyZC5BUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iV2FsbHBhcGVyQ3ljbGluZy9Qb3J0YWwuV2FsbHBhcGVyQ3ljbGluZy5BUi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iRGlzcGxheVByZWZlcmVuY2VzL1BvcnRhbC5EaXNwbGF5UHJlZmVyZW5jZXMuQVIueGFtbCIgLz4NCiAgICA8L1Jlc291cmNlRGljdGlvbmFyeS5NZXJnZWREaWN0aW9uYXJpZXM+,Don't Touch,Portal\Controls\Portal.Controls.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.Stretch.Fill,ملء,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.Stretch.None,بلا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.Stretch.Uniform,موحَّد,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.Stretch.UniformToFill,موحَّد إلى ملء,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙47,PASS⦙47,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.SortModeType.Name,الاسم,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.SortModeType.None,بلا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.SortModeType.Creation,الإنشاء,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.SortModeType.Modification,التعديل,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙48,PASS⦙48,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.InputType.Close,مُغلَق,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.InputType.OnlyMouse,الفأرة فقط,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.InputType.OnlyKeyboard,لوحة المفاتيح فقط,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.InputType.MouseKeyboard,الفأرة ولوحة المفاتيح,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙49,PASS⦙49,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.StretchType.Fill,ملء,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.StretchType.None,بلا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.StretchType.Uniform,موحَّد,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.StretchType.UniformToFill,موحَّد إلى ملء,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙50,PASS⦙50,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.ReportThemeType.Spam,بريد مزعج,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ReportThemeType.Other,أخرى,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ReportThemeType.Nudity,عُري,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ReportThemeType.Harmful,ضار,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ReportThemeType.Violence,عنف,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ReportThemeType.Malicious,خبيث,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ReportThemeType.CopyrightViolation,انتهاك حقوق النشر,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ReportThemeType.MisleadingInformation,معلومات مضلِّلة,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙51,PASS⦙51,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.CommunicationType.Pipe,Pipe,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CommunicationType.Signal,Signal,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CommunicationType.Transmission,Transmission,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙52,PASS⦙52,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.PerformanceType.Close,إغلاق,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.PerformanceType.Pause,إيقاف مؤقّت,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.PerformanceType.Resume,استئناف,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙53,PASS⦙53,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.WindowBackdropType.Auto,تلقائي,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.WindowBackdropType.Mica,Mica,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.WindowBackdropType.None,بلا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.WindowBackdropType.Tabbed,مبوَّب,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.WindowBackdropType.Acrylic,Acrylic,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙54,PASS⦙54,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.InputModuleType.Native,Native,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.InputModuleType.RawInput,RawInput,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙55,PASS⦙55,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.StoreServerType.GitHub,GitHub,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.StoreServerType.Soferity,Soferity,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙56,PASS⦙56,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.UpdateAutoType.Visible,مرئي,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.UpdateAutoType.SemiSilent,مرئي أحيانًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.UpdateAutoType.UpdateSilent,التحديث غير مرئي,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.UpdateAutoType.CompleteSilent,غير مرئي تمامًا,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙57,PASS⦙57,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.UpdateModuleType.Native,Native,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.UpdateModuleType.Downloader,Downloader,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙58,PASS⦙58,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.UpdateServerType.GitHub,GitHub,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.UpdateServerType.Soferity,Soferity,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙59,PASS⦙59,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.PausePerformanceType.Heavy,ثقيل,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.PausePerformanceType.Light,خفيف,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙60,PASS⦙60,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.SortKindType.Ascending,تصاعدي [A-Z],,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.SortKindType.Descending,تنازلي [Z-A],,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙61,PASS⦙61,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.ExpandScreenType.Default,افتراضي,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ExpandScreenType.Advanced,متقدّم,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙62,PASS⦙62,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.TransitionCycleType.Random,عشوائي,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.TransitionCycleType.Sequential,متسلسل,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙63,PASS⦙63,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.ScreenType.WorkingArea,منطقة العمل,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.ScreenType.DisplayBound,حدود الشاشة,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙64,PASS⦙64,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.UpdateChannelType.Release,افتراضي,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.UpdateChannelType.PreRelease,المطوّر,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙65,PASS⦙65,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.DuplicateScreenType.Default,افتراضي,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.DuplicateScreenType.Advanced,متقدّم,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙66,PASS⦙66,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.UpdateExtensionType.Compressed,مضغوط,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.UpdateExtensionType.Executable,قابل للتنفيذ,,Portal\Enum\Portal.Enum.AR.xaml,
PASS⦙67,PASS⦙67,Don't Touch,Portal\Enum\Portal.Enum.AR.xaml,Please don't touch the translation in this line.
Portal.Enum.CompatibilityType.Pass,نتيجة ناجحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Tags,'Tags' يحتوي على قيم كثيرة جدًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Type,أُنشئت السِمة لنوع غير مدعوم,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Title,قيمة 'Title' فارغة أو طويلة جدًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Access,ليس لديك إذن للوصول إلى الملف المعني,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Author,قيمة 'Author' فارغة أو طويلة جدًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Folder,ملفّات السِمة ليست في الدليل الجذري للأرشيف,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Locked,الملف المعني قيد الاستخدام من قِبل عملية أخرى,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Source,لم يُعثر على ملف 'Source',,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Contact,قيمة 'Contact' فارغة أو طويلة جدًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Encrypt,الملف المعني مشفَّر,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Preview,لم يُعثر على ملف 'Preview',,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.ZipType,الملف المعني ليس ملف '.zip' حقيقيًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.InfoFile,لم يُعثر على ملف 'SucroseInfo.json',,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.LoopMode,قيمة 'LoopMode' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.NotFound,لم يُعثر على الملف المعني,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Arguments,قيمة 'Arguments' طويلة جدًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.EmptyInfo,ملف 'SucroseInfo.json' فارغ,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Extension,الملف المعني ليس بامتداد '.zip',,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.ThemeType,قيمة 'ThemeType' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Thumbnail,لم يُعثر على ملف 'Thumbnail',,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.AppVersion,أُنشئت السِمة لإصدار أعلى من التطبيق,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.InvalidUrl,تحتوي 'Source' على قيمة غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.SystemBios,قيمة 'SystemBios' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.SystemDate,قيمة 'SystemDate' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Description,قيمة 'Description' فارغة أو طويلة جدًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.InvalidFile,ملف غير صالح,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.InvalidInfo,ملف 'SucroseInfo.json' غير صالح,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.InvalidTags,قيم 'Tags' قصيرة جدًا أو طويلة جدًا,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.ShuffleMode,قيمة 'ShuffleMode' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.StretchMode,قيمة 'StretchMode' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.SystemAudio,قيمة 'SystemAudio' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.SystemTheme,قيمة 'SystemTheme' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.TriggerTime,قيمة 'TriggerTime' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.VolumeLevel,قيمة 'VolumeLevel' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.Localization,قيمة 'Localization' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.PropertyList,قيمة 'PropertyList' فارغة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.SystemMemory,قيمة 'SystemMemory' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.SystemBattery,قيمة 'SystemBattery' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
Portal.Enum.CompatibilityType.SystemGraphic,قيمة 'SystemGraphic' غير صالحة,,Portal\Enum\Portal.Enum.AR.xaml,
